"STATISTIC Label","Year","Type of Offence","UNIT","VALUE"
"Recorded crime incidents","2020","Aggravated sexual assault","Number","5"
"Recorded crime incidents","2020","Sexual assault (not aggravated)","Number","1574"
"Recorded crime incidents","2020","Other sexual offences","Number","456"
"Recorded crime incidents","2020","Attempts/threats to murder, assaults, harassments and related offences","Number","19071"
"Recorded crime incidents","2020","Murder-attempt","Number","19"
"Recorded crime incidents","2020","Threat to kill or cause serious harm","Number","1535"
"Recorded crime incidents","2020","Harassment and related offences","Number","1691"
"Recorded crime incidents","2020","Assault causing harm, poisoning","Number","4260"
"Recorded crime incidents","2020","Other assault","Number","11566"
"Recorded crime incidents","2020","Dangerous or negligent acts","Number","8746"
"Recorded crime incidents","2020","Dangerous driving causing serious bodily harm","Number","29"
"Recorded crime incidents","2020","Driving/in charge of a vehicle while over legal alcohol limit","Number","5159"
"Recorded crime incidents","2020","Driving/in charge of a vehicle under the influence of drugs","Number","2637"
"Recorded crime incidents","2020","Endangerment with potential for serious harm/death","Number","348"
"Recorded crime incidents","2020","Abandoning a child, child neglect and cruelty","Number","343"
"Recorded crime incidents","2020","Unseaworthy/dangerous use of boat or ship","Number","3"
"Recorded crime incidents","2020","False alarm/interference with aircraft or air transport facilities","Number","2"
"Recorded crime incidents","2020","Endangering traffic offences","Number","225"
"Recorded crime incidents","2020","Kidnapping and related offences","Number","134"
"Recorded crime incidents","2020","False imprisonment","Number","107"
"Recorded crime incidents","2020","Abduction of person under 16 years of age","Number","7"
"Recorded crime incidents","2020","Human trafficking offences","Number","20"
"Recorded crime incidents","2020","Robbery, extortion and hijacking offences","Number","1819"
"Recorded crime incidents","2020","Robbery of an establishment or institution","Number","386"
"Recorded crime incidents","2020","Robbery of cash or goods in transit","Number","10"
"Recorded crime incidents","2020","Robbery from the person","Number","1005"
"Recorded crime incidents","2020","Blackmail or extortion","Number","234"
"Recorded crime incidents","2020","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","184"
"Recorded crime incidents","2020","Burglary and related offences","Number","10885"
"Recorded crime incidents","2020","Aggravated burglary","Number","292"
"Recorded crime incidents","2020","Burglary (not aggravated)","Number","10284"
"Recorded crime incidents","2020","Possession of an article (with intent to burgle, steal, demand)","Number","309"
"Recorded crime incidents","2020","Theft and related offences","Number","51506"
"Recorded crime incidents","2020","Theft/taking of vehicle and related offences","Number","3765"
"Recorded crime incidents","2020","Theft from person","Number","1780"
"Recorded crime incidents","2020","Theft from shop","Number","19543"
"Recorded crime incidents","2020","Other thefts, handling stolen property","Number","26418"
"Recorded crime incidents","2020","Fraud, deception and related offences","Number","7864"
"Recorded crime incidents","2020","Controlled drug offences","Number","23122"
"Recorded crime incidents","2020","Importation of drugs","Number","21"
"Recorded crime incidents","2020","Cultivation or manufacture of drugs","Number","377"
"Recorded crime incidents","2020","Possession of drugs for sale or supply","Number","6007"
"Recorded crime incidents","2020","Possession of drugs for personal use","Number","15759"
"Recorded crime incidents","2020","Other drug offences","Number","958"
"Recorded crime incidents","2020","Weapons and Explosives Offences","Number","3092"
"Recorded crime incidents","2020","Explosives, chemical weapons offences","Number","58"
"Recorded crime incidents","2020","Discharging a firearm","Number","85"
"Recorded crime incidents","2020","Possession of a firearm","Number","234"
"Recorded crime incidents","2020","Offensive weapons offences (n.e.c.)","Number","2424"
"Recorded crime incidents","2020","Fireworks offences","Number","291"
"Recorded crime incidents","2020","Damage to property and to the environment","Number","19526"
"Recorded crime incidents","2020","Arson","Number","1382"
"Recorded crime incidents","2020","Criminal damage (not arson)","Number","17950"
"Recorded crime incidents","2020","Litter offences","Number","194"
"Recorded crime incidents","2020","Public order and other social code offences","Number","29026"
"Recorded crime incidents","2020","Disorderly conduct","Number","24488"
"Recorded crime incidents","2020","Trespass offences","Number","2440"
"Recorded crime incidents","2020","Liquor licensing offences","Number","302"
"Recorded crime incidents","2020","Prostitution offences","Number","34"
"Recorded crime incidents","2020","Regulated betting/money, collection/trading offences","Number","52"
"Recorded crime incidents","2020","Social code offences (n.e.c.)","Number","1710"
"Recorded crime incidents","2020","Offences against government, justice procedures and organisation of crime","Number","11001"
"Recorded crime incidents","2020","Offences against government and its agents","Number","301"
"Recorded crime incidents","2020","Organisation of crime and conspiracy to commit crime","Number","17"
"Recorded crime incidents","2020","Perverting the course of justice","Number","36"
"Recorded crime incidents","2020","Offences while in custody, breach of court orders","Number","10647"
"Recorded crime incidents","2021","Homicide offences","Number","56"
"Recorded crime incidents","2021","Murder","Number","22"
"Recorded crime incidents","2021","Manslaughter","Number","5"
"Recorded crime incidents","2021","Infanticide","Number","0"
"Recorded crime incidents","2021","Dangerous driving leading to death","Number","29"
"Recorded crime incidents","2021","Sexual offences","Number","3530"
"Recorded crime incidents","2021","Rape of a male or female","Number","943"
"Recorded crime incidents","2021","Defilement of a boy or girl less than 17 years old","Number","154"
"Recorded crime incidents","2021","Sexual offence involving mentally impaired person","Number","14"
"Recorded crime incidents","2021","Aggravated sexual assault","Number","5"
"Recorded crime incidents","2021","Sexual assault (not aggravated)","Number","1875"
"Recorded crime incidents","2021","Other sexual offences","Number","539"
"Recorded crime incidents","2021","Attempts/threats to murder, assaults, harassments and related offences","Number","20316"
"Recorded crime incidents","2021","Murder-attempt","Number","15"
"Recorded crime incidents","2021","Threat to kill or cause serious harm","Number","1668"
"Recorded crime incidents","2021","Harassment and related offences","Number","1900"
"Recorded crime incidents","2021","Assault causing harm, poisoning","Number","4880"
"Recorded crime incidents","2021","Other assault","Number","11853"
"Recorded crime incidents","2021","Dangerous or negligent acts","Number","8280"
"Recorded crime incidents","2021","Dangerous driving causing serious bodily harm","Number","57"
"Recorded crime incidents","2021","Driving/in charge of a vehicle while over legal alcohol limit","Number","4983"
"Recorded crime incidents","2021","Driving/in charge of a vehicle under the influence of drugs","Number","2464"
"Recorded crime incidents","2021","Endangerment with potential for serious harm/death","Number","241"
"Recorded crime incidents","2021","Abandoning a child, child neglect and cruelty","Number","299"
"Recorded crime incidents","2021","Unseaworthy/dangerous use of boat or ship","Number","4"
"Recorded crime incidents","2021","False alarm/interference with aircraft or air transport facilities","Number","4"
"Recorded crime incidents","2021","Endangering traffic offences","Number","228"
"Recorded crime incidents","2021","Kidnapping and related offences","Number","148"
"Recorded crime incidents","2021","False imprisonment","Number","98"
"Recorded crime incidents","2021","Abduction of person under 16 years of age","Number","34"
"Recorded crime incidents","2021","Human trafficking offences","Number","16"
"Recorded crime incidents","2021","Robbery, extortion and hijacking offences","Number","1738"
"Recorded crime incidents","2021","Robbery of an establishment or institution","Number","394"
"Recorded crime incidents","2021","Robbery of cash or goods in transit","Number","6"
"Recorded crime incidents","2021","Robbery from the person","Number","776"
"Recorded crime incidents","2021","Blackmail or extortion","Number","406"
"Recorded crime incidents","2021","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","156"
"Recorded crime incidents","2021","Burglary and related offences","Number","8583"
"Recorded crime incidents","2021","Aggravated burglary","Number","235"
"Recorded crime incidents","2021","Burglary (not aggravated)","Number","8145"
"Recorded crime incidents","2021","Possession of an article (with intent to burgle, steal, demand)","Number","203"
"Recorded crime incidents","2021","Theft and related offences","Number","46811"
"Recorded crime incidents","2021","Theft/taking of vehicle and related offences","Number","3955"
"Recorded crime incidents","2021","Theft from person","Number","1221"
"Recorded crime incidents","2021","Theft from shop","Number","19535"
"Recorded crime incidents","2021","Other thefts, handling stolen property","Number","22100"
"Recorded crime incidents","2021","Fraud, deception and related offences","Number","17175"
"Recorded crime incidents","2021","Controlled drug offences","Number","20001"
"Recorded crime incidents","2021","Importation of drugs","Number","23"
"Recorded crime incidents","2021","Cultivation or manufacture of drugs","Number","245"
"Recorded crime incidents","2021","Possession of drugs for sale or supply","Number","5056"
"Recorded crime incidents","2021","Possession of drugs for personal use","Number","13850"
"Recorded crime incidents","2021","Other drug offences","Number","827"
"Recorded crime incidents","2021","Weapons and Explosives Offences","Number","2530"
"Recorded crime incidents","2021","Explosives, chemical weapons offences","Number","51"
"Recorded crime incidents","2021","Discharging a firearm","Number","75"
"Recorded crime incidents","2021","Possession of a firearm","Number","171"
"Recorded crime incidents","2021","Offensive weapons offences (n.e.c.)","Number","2062"
"Recorded crime incidents","2021","Fireworks offences","Number","171"
"Recorded crime incidents","2021","Damage to property and to the environment","Number","19303"
"Recorded crime incidents","2021","Arson","Number","1396"
"Recorded crime incidents","2021","Criminal damage (not arson)","Number","17721"
"Recorded crime incidents","2021","Litter offences","Number","186"
"Recorded crime incidents","2021","Public order and other social code offences","Number","28393"
"Recorded crime incidents","2021","Disorderly conduct","Number","24132"
"Recorded crime incidents","2021","Trespass offences","Number","2251"
"Recorded crime incidents","2021","Liquor licensing offences","Number","265"
"Recorded crime incidents","2021","Prostitution offences","Number","64"
"Recorded crime incidents","2021","Regulated betting/money, collection/trading offences","Number","40"
"Recorded crime incidents","2021","Social code offences (n.e.c.)","Number","1641"
"Recorded crime incidents","2021","Offences against government, justice procedures and organisation of crime","Number","12391"
"Recorded crime incidents","2021","Offences against government and its agents","Number","329"
"Recorded crime incidents","2021","Organisation of crime and conspiracy to commit crime","Number","15"
"Recorded crime incidents","2021","Perverting the course of justice","Number","36"
"Recorded crime incidents","2021","Offences while in custody, breach of court orders","Number","12011"
"Recorded crime incidents","2022","Homicide offences","Number","81"
"Recorded crime incidents","2022","Murder","Number","44"
"Recorded crime incidents","2022","Manslaughter","Number","4"
"Recorded crime incidents","2022","Infanticide","Number","0"
"Recorded crime incidents","2022","Dangerous driving leading to death","Number","33"
"Recorded crime incidents","2022","Sexual offences","Number","3800"
"Recorded crime incidents","2022","Rape of a male or female","Number","955"
"Recorded crime incidents","2022","Defilement of a boy or girl less than 17 years old","Number","140"
"Recorded crime incidents","2022","Sexual offence involving mentally impaired person","Number","9"
"Recorded crime incidents","2022","Aggravated sexual assault","Number","8"
"Recorded crime incidents","2022","Sexual assault (not aggravated)","Number","2083"
"Recorded crime incidents","2022","Other sexual offences","Number","605"
"Recorded crime incidents","2022","Attempts/threats to murder, assaults, harassments and related offences","Number","23865"
"Recorded crime incidents","2022","Murder-attempt","Number","13"
"Recorded crime incidents","2022","Threat to kill or cause serious harm","Number","1797"
"Recorded crime incidents","2022","Harassment and related offences","Number","1944"
"Recorded crime incidents","2022","Assault causing harm, poisoning","Number","6136"
"Recorded crime incidents","2022","Other assault","Number","13975"
"Recorded crime incidents","2022","Dangerous or negligent acts","Number","8226"
"Recorded crime incidents","2022","Dangerous driving causing serious bodily harm","Number","53"
"Recorded crime incidents","2022","Driving/in charge of a vehicle while over legal alcohol limit","Number","5505"
"Recorded crime incidents","2022","Driving/in charge of a vehicle under the influence of drugs","Number","1879"
"Recorded crime incidents","2022","Endangerment with potential for serious harm/death","Number","243"
"Recorded crime incidents","2022","Abandoning a child, child neglect and cruelty","Number","311"
"Recorded crime incidents","2022","Unseaworthy/dangerous use of boat or ship","Number","3"
"Recorded crime incidents","2022","False alarm/interference with aircraft or air transport facilities","Number","4"
"Recorded crime incidents","2022","Endangering traffic offences","Number","228"
"Recorded crime incidents","2022","Kidnapping and related offences","Number","159"
"Recorded crime incidents","2022","False imprisonment","Number","105"
"Recorded crime incidents","2022","Abduction of person under 16 years of age","Number","36"
"Recorded crime incidents","2022","Human trafficking offences","Number","18"
"Recorded crime incidents","2022","Robbery, extortion and hijacking offences","Number","2069"
"Recorded crime incidents","2022","Robbery of an establishment or institution","Number","438"
"Recorded crime incidents","2022","Robbery of cash or goods in transit","Number","8"
"Recorded crime incidents","2022","Robbery from the person","Number","961"
"Recorded crime incidents","2022","Blackmail or extortion","Number","557"
"Recorded crime incidents","2022","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","105"
"Recorded crime incidents","2022","Burglary and related offences","Number","9460"
"Recorded crime incidents","2022","Aggravated burglary","Number","238"
"Recorded crime incidents","2022","Burglary (not aggravated)","Number","8942"
"Recorded crime incidents","2022","Possession of an article (with intent to burgle, steal, demand)","Number","280"
"Recorded crime incidents","2022","Theft and related offences","Number","65946"
"Recorded crime incidents","2022","Theft/taking of vehicle and related offences","Number","6201"
"Recorded crime incidents","2022","Theft from person","Number","2587"
"Recorded crime incidents","2022","Theft from shop","Number","27513"
"Recorded crime incidents","2022","Other thefts, handling stolen property","Number","29645"
"Recorded crime incidents","2022","Fraud, deception and related offences","Number","11713"
"Recorded crime incidents","2022","Controlled drug offences","Number","17286"
"Recorded crime incidents","2022","Importation of drugs","Number","36"
"Recorded crime incidents","2022","Cultivation or manufacture of drugs","Number","133"
"Recorded crime incidents","2022","Possession of drugs for sale or supply","Number","4341"
"Recorded crime incidents","2022","Possession of drugs for personal use","Number","12134"
"Recorded crime incidents","2022","Other drug offences","Number","642"
"Recorded crime incidents","2022","Weapons and Explosives Offences","Number","2628"
"Recorded crime incidents","2022","Explosives, chemical weapons offences","Number","59"
"Recorded crime incidents","2022","Discharging a firearm","Number","73"
"Recorded crime incidents","2022","Possession of a firearm","Number","188"
"Recorded crime incidents","2022","Offensive weapons offences (n.e.c.)","Number","2157"
"Recorded crime incidents","2022","Fireworks offences","Number","151"
"Recorded crime incidents","2022","Damage to property and to the environment","Number","21708"
"Recorded crime incidents","2022","Arson","Number","1394"
"Recorded crime incidents","2022","Criminal damage (not arson)","Number","20187"
"Recorded crime incidents","2022","Litter offences","Number","127"
"Recorded crime incidents","2022","Public order and other social code offences","Number","31287"
"Recorded crime incidents","2022","Disorderly conduct","Number","26639"
"Recorded crime incidents","2022","Trespass offences","Number","2409"
"Recorded crime incidents","2022","Liquor licensing offences","Number","238"
"Recorded crime incidents","2022","Prostitution offences","Number","61"
"Recorded crime incidents","2022","Regulated betting/money, collection/trading offences","Number","55"
"Recorded crime incidents","2022","Social code offences (n.e.c.)","Number","1885"
"Recorded crime incidents","2022","Offences against government, justice procedures and organisation of crime","Number","15466"
"Recorded crime incidents","2022","Offences against government and its agents","Number","681"
"Recorded crime incidents","2022","Organisation of crime and conspiracy to commit crime","Number","29"
"Recorded crime incidents","2022","Perverting the course of justice","Number","135"
"Recorded crime incidents","2022","Offences while in custody, breach of court orders","Number","14621"
"Recorded crime incidents","2023","Homicide offences","Number","74"
"Recorded crime incidents","2023","Murder","Number","34"
"Recorded crime incidents","2023","Manslaughter","Number","3"
"Recorded crime incidents","2023","Infanticide","Number",""
"Recorded crime incidents","2023","Dangerous driving leading to death","Number","37"
"Recorded crime incidents","2023","Sexual offences","Number","3407"
"Recorded crime incidents","2023","Rape of a male or female","Number","929"
"Recorded crime incidents","2023","Defilement of a boy or girl less than 17 years old","Number","73"
"Recorded crime incidents","2023","Sexual offence involving mentally impaired person","Number","9"
"Recorded crime incidents","2023","Aggravated sexual assault","Number","7"
"Recorded crime incidents","2023","Sexual assault (not aggravated)","Number","1929"
"Recorded crime incidents","2023","Other sexual offences","Number","460"
"Recorded crime incidents","2023","Attempts/threats to murder, assaults, harassments and related offences","Number","23870"
"Recorded crime incidents","2023","Murder-attempt","Number","14"
"Recorded crime incidents","2023","Threat to kill or cause serious harm","Number","1721"
"Recorded crime incidents","2023","Harassment and related offences","Number","2076"
"Recorded crime incidents","2023","Assault causing harm, poisoning","Number","5751"
"Recorded crime incidents","2023","Other assault","Number","14308"
"Recorded crime incidents","2023","Dangerous or negligent acts","Number","7651"
"Recorded crime incidents","2023","Dangerous driving causing serious bodily harm","Number","47"
"Recorded crime incidents","2023","Driving/in charge of a vehicle while over legal alcohol limit","Number","5062"
"Recorded crime incidents","2023","Driving/in charge of a vehicle under the influence of drugs","Number","1727"
"Recorded crime incidents","2023","Endangerment with potential for serious harm/death","Number","256"
"Recorded crime incidents","2023","Abandoning a child, child neglect and cruelty","Number","302"
"Recorded crime incidents","2023","Unseaworthy/dangerous use of boat or ship","Number","2"
"Recorded crime incidents","2023","False alarm/interference with aircraft or air transport facilities","Number","23"
"Recorded crime incidents","2023","Endangering traffic offences","Number","232"
"Recorded crime incidents","2023","Kidnapping and related offences","Number","147"
"Recorded crime incidents","2023","False imprisonment","Number","106"
"Recorded crime incidents","2023","Abduction of person under 16 years of age","Number","20"
"Recorded crime incidents","2023","Human trafficking offences","Number","21"
"Recorded crime incidents","2023","Robbery, extortion and hijacking offences","Number","2607"
"Recorded crime incidents","2023","Robbery of an establishment or institution","Number","471"
"Recorded crime incidents","2023","Robbery of cash or goods in transit","Number","3"
"Recorded crime incidents","2023","Robbery from the person","Number","1143"
"Recorded crime incidents","2023","Blackmail or extortion","Number","867"
"Recorded crime incidents","2023","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","123"
"Recorded crime incidents","2023","Burglary and related offences","Number","9560"
"Recorded crime incidents","2023","Aggravated burglary","Number","237"
"Recorded crime incidents","2023","Burglary (not aggravated)","Number","9019"
"Recorded crime incidents","2023","Possession of an article (with intent to burgle, steal, demand)","Number","304"
"Recorded crime incidents","2023","Theft and related offences","Number","73813"
"Recorded crime incidents","2023","Theft/taking of vehicle and related offences","Number","7635"
"Recorded crime incidents","2023","Theft from person","Number","3690"
"Recorded crime incidents","2023","Theft from shop","Number","31302"
"Recorded crime incidents","2023","Other thefts, handling stolen property","Number","31186"
"Recorded crime incidents","2023","Fraud, deception and related offences","Number","12352"
"Recorded crime incidents","2023","Controlled drug offences","Number","17284"
"Recorded crime incidents","2023","Importation of drugs","Number","54"
"Recorded crime incidents","2023","Cultivation or manufacture of drugs","Number","96"
"Recorded crime incidents","2023","Possession of drugs for sale or supply","Number","5062"
"Recorded crime incidents","2023","Possession of drugs for personal use","Number","11492"
"Recorded crime incidents","2023","Other drug offences","Number","580"
"Recorded crime incidents","2023","Weapons and Explosives Offences","Number","2762"
"Recorded crime incidents","2023","Explosives, chemical weapons offences","Number","69"
"Recorded crime incidents","2023","Discharging a firearm","Number","84"
"Recorded crime incidents","2023","Possession of a firearm","Number","189"
"Recorded crime incidents","2023","Offensive weapons offences (n.e.c.)","Number","2224"
"Recorded crime incidents","2023","Fireworks offences","Number","196"
"Recorded crime incidents","2023","Damage to property and to the environment","Number","22443"
"Recorded crime incidents","2023","Arson","Number","1542"
"Recorded crime incidents","2023","Criminal damage (not arson)","Number","20757"
"Recorded crime incidents","2023","Litter offences","Number","144"
"Recorded crime incidents","2023","Public order and other social code offences","Number","28846"
"Recorded crime incidents","2023","Disorderly conduct","Number","24909"
"Recorded crime incidents","2023","Trespass offences","Number","2487"
"Recorded crime incidents","2023","Liquor licensing offences","Number","170"
"Recorded crime incidents","2023","Prostitution offences","Number","52"
"Recorded crime incidents","2023","Regulated betting/money, collection/trading offences","Number","62"
"Recorded crime incidents","2023","Social code offences (n.e.c.)","Number","1166"
"Recorded crime incidents","2023","Offences against government, justice procedures and organisation of crime","Number","15260"
"Recorded crime incidents","2023","Offences against government and its agents","Number","442"
"Recorded crime incidents","2023","Organisation of crime and conspiracy to commit crime","Number","23"
"Recorded crime incidents","2023","Perverting the course of justice","Number","44"
"Recorded crime incidents","2023","Offences while in custody, breach of court orders","Number","14751"
